DDH_name,From_m,To_m,JoinID,Sample_length_m,Al_pct,Si_pct,S_pct,K_pct,Ca_pct,Ti_ppm,Mn_ppm,Fe_pct,Cu_ppm,Rb_ppm,Sr_ppm,Major_Unit_Interp
DDH-1,514.7800293,514.9000244,SCC-001514.78514.9,0.119999997,5.494100094,26.44709969,0.087700002,3.094099998,0.423299998,2002,599,3.797600031,427,172,283,Gila Conglomerate
DDH-1,515.0999756,515.2000122,SCC-001515.1515.2,0.100000001,4.700500011,23.60210037,0.093599997,3.187999964,0.311800003,1730,407,2.972599983,196,178,148,Gila Conglomerate
DDH-1,515.2000122,515.2999878,SCC-001515.2515.3,0.100000001,6.033500195,29.7220993,0.421200007,3.666800022,0.379099995,1775,491,2.815000057,192,170,146,Gila Conglomerate
DDH-1,515.2999878,515.4000244,SCC-001515.3515.4,0.100000001,3.895299911,21.60070038,0.201299995,2.858299971,0.226899996,1180,334,1.849300027,103,183,85,Gila Conglomerate
DDH-1,515.4000244,515.5,SCC-001515.4515.5,0.100000001,4.594600201,22.69779968,0.162300006,2.828299999,0.342599988,1869,543,3.448699951,323,176,206,Gila Conglomerate
DDH-1,515.5,515.5999756,SCC-001515.5515.6,0.100000001,5.938099861,25.44350052,0.348500013,3.077899933,0.467999995,2247,586,3.950999975,349,184,253,Gila Conglomerate
DDH-1,515.5999756,515.7000122,SCC-001515.6515.7,0.100000001,5.150300026,22.76939964,0.223399997,3.119299889,0.405200005,1984,545,3.457600117,330,173,252,Gila Conglomerate
DDH-1,515.9000244,516,SCC-001515.9516,0.100000001,4.857500076,22.37369919,0.208199993,2.460000038,0.528999984,2751,625,5.247799873,335,138,283,Gila Conglomerate
DDH-1,516,516.0999756,SCC-001516516.1,0.100000001,4.71969986,25.94729996,0.108199999,3.353899956,0.545599997,1942,440,2.906699896,348,243,274,Gila Conglomerate
DDH-1,516.4000244,516.5,SCC-001516.4516.5,0.100000001,5.361599922,27.29330063,0.310099989,3.163800001,0.551199973,1968,526,2.963099957,259,160,203,Gila Conglomerate
DDH-1,516.5,516.5999756,SCC-001516.5516.6,0.100000001,4.424799919,23.71209908,0.393599987,2.99119997,0.688600004,2949,603,4.625699997,317,182,208,Gila Conglomerate
DDH-1,516.5999756,516.7000122,SCC-001516.6516.7,0.100000001,3.907399893,22.3987999,0.374599993,2.913300037,0.466199994,2269,558,3.859299898,433,197,269,Gila Conglomerate
DDH-1,516.7000122,516.7999878,SCC-001516.7516.8,0.100000001,4.505700111,22.39590073,0.183899999,2.880100012,0.444299996,2466,653,4.342000008,385,142,202,Gila Conglomerate
DDH-1,516.7999878,516.9000244,SCC-001516.8516.9,0.100000001,4.787399769,24.47960091,0.345800012,2.994899988,0.64319998,1964,458,2.97390008,292,180,202,Gila Conglomerate
DDH-1,516.9000244,517,SCC-001516.9517,0.100000001,5.78219986,26.09659958,0.371899992,3.492000103,0.459600002,2370,681,4.140699863,613,207,218,Gila Conglomerate
DDH-1,517,517.0999756,SCC-001517517.1,0.100000001,6.550499916,27.22809982,0.632200003,3.588500023,0.531300008,2340,604,4.119999886,436,220,257,Gila Conglomerate
